+----------+----------+---------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------+--------------+-------------------+------------------+---------------------------------------------+
| ObjectID |  Medium  |            Date           |                                                                     Dimensions                                                                    | DateAcquired |     Department    |  Classification  |                     URL                     |
|  115712  | Drypoint |            2003           |                                    plate: 4 3/4 x 5 3/4" (12 x 14.6 cm); page: 8 15/16 x 9 7/16" (22.7 x 24 cm)                                   |  2005-06-02  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/115712 |
|  70426   | Drypoint |            1990           |                                 plate: 16 3/4 x 9 15/16" (42.6 x 25.3 cm); sheet: 25 9/16 x 19 11/16" (65 x 50 cm)                                |  1993-11-17  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/70426 |
|  84546   | Drypoint |            2000           |                                 plate: 10 7/8 x 8 1/2" (27.7 x 21.6 cm); sheet: 15 7/16 x 11 1/8" (39.2 x 28.2 cm)                                |  2008-06-18  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/84546 |
|  71659   | Drypoint |            1993           |                                  plate: 8 7/8 x 5 1/8" (22.6 x 13 cm); sheet: 26 3/16 x 18 1/16" (66.5 x 45.9 cm)                                 |  1996-11-12  | Drawings & Prints |      Print       |                                             |
|  119340  | Drypoint |         1999-2002         |                                 plate: 4 15/16 x 8 3/8" (12.5 x 21.3 cm); sheet: 9 1/8 × 11 7/8" (23.1 × 30.1 cm)                                 |  2008-10-08  | Drawings & Prints |      Print       |                                             |
|  71815   | Drypoint |            1993           |                                  plate: 4 3/4 x 8 7/8" (12.1 x 22.5 cm); sheet: 14 9/16 x 22 3/8" (37 x 56.8 cm)                                  |  1996-11-12  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/71815 |
|  11012   | Drypoint |            1995           |                                  plate: 8 7/8 x 8 7/8" (22.6 x 22.6 cm); page: 11 13/16 x 11 13/16" (30 x 30 cm)                                  |  1996-03-12  | Drawings & Prints | Illustrated Book |  http://www.moma.org/collection/works/11012 |
|  62165   | Drypoint |            1944           |                                     plate: 3 7/16 x 2 1/2" (8.8 x 6.3 cm); sheet: 8 × 5 3/4" (20.3 × 14.6 cm)                                     |  1990-05-02  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/62165 |
|  119563  | Drypoint |         2001-2002         |                                      plate: 3 9/16 x 4 1/2" (9 x 11.5 cm); sheet: 8 1/16 x 11" (20.5 x 28 cm)                                     |  2008-10-08  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/119563 |
|  84165   | Drypoint |            1999           |                                   plate: 5 13/16 x 4 7/8" (14.7 x 12.4 cm); sheet: 8 11/16 x 5 7/8" (22 x 15 cm)                                  |  2002-04-04  | Drawings & Prints | Illustrated Book |  http://www.moma.org/collection/works/84165 |
